temperaturemin,temperaturemax,precipitation,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
68,93.9,0,3.58,230,14.09,250,25.05,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
68,93,0.04,4.47,10,10.07,360,17,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,93,0,3.13,30,14.09,30,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,89.1,0.22,6.26,220,21.92,220,25.95,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
69.1,87.1,0,8.72,50,17,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,89.1,0,6.04,100,12.97,140,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,88,0,2.68,200,8.95,120,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73.9,97,0.07,4.92,250,25.95,240,31.99,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
73,99,0,4.92,110,14.99,140,27.96,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,84.9,1.16,2.68,30,14.99,40,29.97,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
71.1,93.9,0,2.46,80,12.08,50,17.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
77,95,0,4.92,90,14.09,30,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,96.1,0,5.59,280,12.97,260,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,88,0,1.79,50,8.95,30,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,84,0,5.82,60,12.97,50,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
60.1,86,0,2.01,90,12.08,90,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,87.1,0,2.91,140,8.95,40,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66.9,82.9,0.43,3.36,120,8.05,,,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
68,84.9,0,2.91,160,17.9,160,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
43,72,0,1.12,260,8.95,270,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46.9,55,1.43,11.41,40,21.03,30,29.08,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
33.1,53.1,0,5.82,300,16.11,300,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33.1,57,0.19,3.8,130,12.08,120,14.99,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
36,57.9,0.42,7.61,220,17.9,220,23.94,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
34,64,0,1.79,150,8.95,150,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
32,62.1,0,4.47,340,14.99,330,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
32,57,0,1.12,40,10.07,50,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,64,0,3.36,50,12.08,40,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,78.1,0.09,17.45,230,36.01,220,46.08,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
34,54,0.17,5.37,300,19.91,260,31.09,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
27,54,0,4.03,200,10.07,110,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48,75,0,10.07,220,23.04,210,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,78.1,0.02,10.51,230,17,230,23.04,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
60.1,75,0.04,3.13,120,12.08,120,14.99,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
57,84.9,0.62,4.25,240,16.11,350,25.95,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
55,77,0,3.36,30,12.08,30,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,80.1,0,7.83,200,16.11,170,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
51.1,72,0,3.8,290,14.09,290,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
60.1,75,0.15,5.59,190,14.09,180,21.92,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
66,82,0,1.34,50,8.95,150,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,82.9,0.43,7.61,50,19.91,50,25.05,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
59,79,0.02,7.83,220,17,220,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
62.1,90,0,10.29,230,23.04,230,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,57,0,7.61,50,16.11,50,23.94,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,91.9,0,13.87,230,23.94,230,33.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
77,93.9,0,4.47,190,14.09,190,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,100.9,0,8.05,230,17.9,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,98.1,0.64,7.61,280,29.97,280,44.96,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
71.1,91,0,3.8,190,10.07,150,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
60.1,75.9,0.2,9.17,50,18.12,60,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,77,0.03,10.96,40,18.12,40,25.95,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
57.9,66,0.34,10.74,50,19.91,50,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,64,0,4.7,230,16.11,230,21.03,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44.1,66.9,0,3.58,220,12.08,220,14.99,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,73.9,0.01,2.91,190,8.95,210,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
31.1,53.1,0,3.36,260,10.07,260,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37,63,0.05,11.86,240,25.05,240,36.91,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27.1,43,0,3.36,240,12.08,230,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22.1,35.1,0,4.03,300,14.09,310,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28.2,46.9,0,2.46,320,10.07,310,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,61,0,6.26,230,17,230,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26.2,55.9,0,5.37,230,14.99,200,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46.9,72,0,9.17,240,21.03,240,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
51.1,72,1.26,10.51,190,23.94,180,36.01,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
21.2,34,0,6.04,300,17,280,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,60.1,1.16,8.05,170,27.96,160,38.92,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
45,71.1,0.04,8.5,240,23.04,230,29.97,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
43,46,0.19,6.26,60,12.97,60,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
31.1,66.9,0,8.28,220,21.03,220,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
