temperaturemin,temperaturemax,precipitation,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
64,86,0,8.95,230,23.04,220,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,90,0,2.68,250,14.09,250,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66.9,91.9,0,5.82,190,12.08,210,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,88,0,4.7,260,14.09,270,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
53.1,79,0,3.36,30,10.07,40,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,90,0,3.8,70,14.99,70,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,75.9,0.08,5.82,80,12.97,80,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,89.1,0.05,4.03,230,14.09,330,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,82.9,0,5.82,80,12.08,130,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,87.1,0,8.5,230,16.11,190,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,93.9,0,3.36,230,12.97,240,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66.9,88,0.42,4.25,360,18.12,350,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
60.1,86,0,2.91,30,12.97,40,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,91,0,3.58,110,14.99,140,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,84,0,5.82,90,14.09,80,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,93,0,6.71,230,14.99,260,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,84.9,0.88,4.92,90,21.03,90,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73.9,93,0,7.83,170,16.11,190,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73.9,90,0,6.93,180,10.96,200,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,82.9,0,4.92,50,14.99,80,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,80.1,0,3.13,30,14.09,30,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,82,0,4.25,50,14.09,120,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,84.9,0,3.8,80,8.95,120,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,81,0,4.25,80,12.97,130,18.12,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
64,70,0.08,3.36,50,12.08,80,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,84.9,0,2.24,40,12.08,30,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,90,0,3.36,260,14.99,260,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,84,0.31,6.71,170,14.99,170,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,86,0,2.68,220,12.08,270,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,88,0.61,3.36,280,19.91,290,33.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,91,0,2.24,270,8.95,260,12.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,89.1,0,4.92,190,12.08,190,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,78.1,0,7.16,60,16.11,80,21.03,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,73,1.04,8.28,40,16.11,40,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66.9,88,0.09,5.59,230,19.91,230,23.04,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
69.1,80.1,0.02,5.37,30,14.09,50,18.12,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,81,0,5.82,40,14.09,40,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,87.1,0.12,6.26,230,14.99,220,21.03,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,64,3.18,9.62,30,17,40,25.05,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,68,0.03,7.38,30,12.97,30,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
54,79,0,1.34,80,8.05,50,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
51.1,79,0,2.68,170,10.07,170,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,79,0.42,10.29,140,23.94,150,29.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
53.1,72,0,4.47,240,12.97,230,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48.9,73.9,0,4.25,230,14.99,230,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
53.1,75,0,4.25,320,14.09,320,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,71.1,0,4.25,230,16.11,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48,66.9,0,6.04,290,14.99,10,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39,71.1,0,2.68,220,8.95,90,12.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39.9,60.1,0,0.67,30,6.93,140,10.07,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
45,72,0,3.8,40,12.97,40,16.11,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
25.2,46,0,1.79,40,8.05,70,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22.1,54,0,1.79,220,8.95,210,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,50,1.69,6.71,30,23.04,40,36.91,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27.1,54,0,5.82,220,16.11,210,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,53.1,0,12.97,40,23.94,40,36.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,45,0.5,3.58,340,8.95,320,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
36,52,0,2.01,280,8.95,30,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,64,0.03,5.82,240,17,270,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46,51.1,0.16,3.8,80,8.95,330,23.94,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.2,39,0,6.26,330,17,340,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22.1,45,0,8.28,240,21.03,230,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,53.1,0,3.58,330,14.09,330,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
31.1,63,0,5.14,280,14.99,270,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,44.1,0.01,5.14,280,12.08,330,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25.2,46,0,2.91,40,12.08,50,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25.2,54,0,6.04,220,16.11,220,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19.2,27.1,0.22,6.26,100,12.97,50,16.11,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
19.2,35.1,0.39,4.7,40,12.97,20,18.12,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
19.2,39.9,0.06,6.04,230,23.94,230,27.96,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7.2,26.2,0,5.59,300,12.97,330,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,71.1,0,4.92,250,16.11,260,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,75,0,6.93,220,21.03,220,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,53.1,0.02,4.92,50,12.08,90,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
45,62.1,0.3,4.7,250,21.03,250,25.95,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39,60.1,0,4.7,30,14.09,20,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,57,0,7.38,230,16.11,220,19.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48,55.9,0.42,2.46,190,6.93,40,10.07,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
36,53.1,0,4.47,80,12.97,80,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48,71.1,0,12.08,220,25.95,230,36.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
15.3,42.1,0,2.01,160,8.95,190,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
13.1,28.2,0,6.49,40,14.99,40,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
29.1,55.9,0,9.62,230,23.04,230,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.2,39,0,3.8,40,12.08,50,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
23.2,37.9,0.49,5.82,30,18.12,20,25.05,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19.2,48.9,0,3.58,230,12.08,230,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25.2,57,0,4.25,200,12.97,220,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25.2,39.9,0.04,6.93,300,19.91,310,31.09,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24.3,57,0.16,7.83,220,23.04,230,29.97,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
18.1,42.1,0,5.14,160,10.07,20,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33.1,55.9,0.61,6.49,170,27.96,170,36.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,64.9,0.08,9.84,50,21.92,50,31.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39,61,0.02,5.14,130,14.09,110,21.03,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,78.1,0,11.18,220,23.04,220,27.07,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39.9,63,0.09,4.25,20,16.11,20,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,57,0,8.72,340,17,350,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,55.9,0,6.93,40,21.03,20,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,54,0,6.71,290,18.12,300,27.07,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,55.9,0,3.13,140,12.08,140,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39,68,0,5.82,290,17,260,31.09,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
36,57,1.05,8.72,50,21.03,40,27.07,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No
33.1,54,0.3,9.84,50,21.03,90,27.96,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55.9,80.1,0,13.87,230,25.05,230,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
51.1,71.1,0.03,13.2,230,23.04,200,31.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39.9,64,0,5.82,200,14.09,210,19.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48,77,0,13.87,230,23.94,340,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
59,81,0,13.87,230,23.94,210,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33.1,62.1,0,9.4,230,25.95,230,33.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,82,0,9.62,230,23.94,220,29.08,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
52,66,0.01,11.18,120,25.95,100,33.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,84.9,0,11.86,230,21.03,220,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,79,0,4.7,60,10.96,40,17,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,82,0.23,8.28,160,14.99,160,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
69.1,86,0,8.05,230,14.99,210,19.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
69.1,87.1,0,9.4,230,16.11,220,19.91,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
69.1,75.9,0.28,6.26,90,14.09,90,21.03,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
69.1,91.9,0,5.59,260,16.11,250,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,84.9,0,5.59,240,16.11,240,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,89.1,0,4.47,140,10.07,150,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66.9,91,0.2,4.47,300,14.99,280,23.94,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
66.9,84.9,0,6.04,230,14.99,230,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
69.1,86,0,5.82,80,16.11,80,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,90,0,4.47,210,12.08,220,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,96.1,0,5.59,60,12.97,290,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,93.9,0.02,4.92,130,14.09,130,19.01,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
75,95,0,3.13,150,8.95,160,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,93,0,5.37,150,16.11,130,23.04,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
48,57.9,0,3.36,50,10.07,20,14.99,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
28,44.1,0,2.01,50,12.97,30,14.99,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26.1,45,0,2.68,300,14.09,300,23.94,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
18,32,0,8.5,290,17,300,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30,62.1,0.02,1.57,230,8.95,230,12.08,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
39,62.1,0,3.13,360,12.08,10,19.91,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.9,51.1,0,8.28,240,19.91,230,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.1,37.9,0,2.24,10,12.97,360,19.91,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No
33.1,51.1,0.01,3.13,350,12.08,320,17.9,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
21.9,46,0,2.24,40,8.95,290,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37,48,0.12,5.59,50,12.08,40,14.99,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
30,51.1,0,6.71,270,14.99,310,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26.1,51.1,0,6.71,300,17.9,310,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,64,0,1.79,100,12.08,50,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,69.1,0.09,11.63,180,27.96,170,42.95,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
43,84,0,2.46,240,10.07,240,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,70,0,2.01,10,10.07,90,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55.9,78.1,0,7.61,280,19.91,250,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,66.9,0,4.47,290,17,300,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55.9,68,0,7.16,140,19.91,150,23.04,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
54,63,0.08,3.8,30,12.08,40,16.11,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
69.1,98.1,0,4.47,200,17.9,200,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73.9,91,0,4.25,140,12.97,320,17,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
78.1,98.1,0.41,6.71,320,17,310,29.08,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
66.9,80.1,0.05,2.24,40,10.07,120,14.09,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
66,93.9,0,6.04,210,14.09,220,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,84,2.25,6.26,40,16.11,30,21.03,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
32,55.9,0,3.13,320,12.97,330,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28.9,62.1,0,2.24,220,14.09,220,14.99,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
46,69.1,0,4.47,220,14.09,230,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27,44.1,0,4.7,280,14.99,280,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,73.9,0,13.2,230,23.94,230,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28.9,39.9,0,8.72,40,17.9,40,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27,35.1,0.29,4.7,80,10.07,350,12.08,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
24.1,48.9,0,5.82,220,17.9,220,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26.1,46,0,2.91,300,12.08,300,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26.1,45,0,8.72,290,23.94,300,40.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,66,0,16.11,230,25.95,230,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,73,0.01,7.16,230,21.92,220,25.05,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
41,66.9,0.2,10.29,170,27.96,150,34.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
39.9,70,0,5.14,30,16.11,30,21.03,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
57,81,0,9.4,220,21.92,210,25.95,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
26.1,63,0,9.4,230,23.04,240,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,63,0,9.17,90,21.92,90,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
43,77,0,5.14,220,17,230,21.92,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
51.1,79,0,6.71,90,21.92,110,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,61,0.18,6.26,50,21.92,50,25.05,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
34,70,0,0.22,80,8.05,90,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46.9,79,0,7.16,240,17,240,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55.9,75,0.93,7.38,230,25.05,240,33.11,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
46,66.9,0,6.49,270,14.99,290,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
43,60.1,0,14.09,300,29.97,290,48.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,66.9,0,6.04,90,14.99,100,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44.1,71.1,0,4.03,360,14.09,50,21.03,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39.9,77,0,2.24,50,8.95,140,14.99,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,82.9,0,9.84,230,16.11,230,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,81,0.31,8.28,110,21.03,100,25.95,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
63,81,0,8.05,90,14.09,100,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,82,0,6.93,80,14.99,130,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,91,0,7.61,200,12.97,200,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,91,0,7.83,210,14.09,210,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,90,0,6.26,90,14.09,90,17,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
64,89.1,0,6.71,200,12.97,200,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,77,1.53,9.62,60,17.9,50,25.95,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
60.1,90,0,10.07,220,23.94,220,29.08,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
64,90,0.03,7.16,230,21.03,220,25.05,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
66,93.9,0,8.72,200,16.11,210,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
62.1,87.1,0,2.91,50,12.97,40,17,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
69.1,95,0.53,4.92,240,29.08,250,33.11,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
71.1,89.1,0,4.25,20,16.11,30,21.92,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
63,84,0,3.36,20,12.08,80,14.09,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
70,89.1,0,3.36,350,12.08,360,17,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
61,87.1,0,3.36,230,10.07,230,14.09,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
62.1,84.9,0,3.8,40,14.99,40,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,88,0,5.59,110,14.09,90,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,91.9,0,1.79,160,10.07,150,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,88,0.13,5.59,100,23.94,100,29.97,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
75,99,0,2.24,230,12.97,250,14.99,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
71.1,93.9,0,6.49,40,14.99,30,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,99,0,6.04,220,14.99,200,17.9,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
75,99,0,8.95,220,17,210,21.03,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
73.9,99,0,12.08,230,29.08,220,33.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,91,0,5.37,30,14.99,10,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
53.1,78.1,0,8.5,80,17.9,90,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,73.9,0.31,8.28,40,14.99,40,17.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
64,84.9,0,6.49,320,16.11,340,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,79,0,6.71,40,19.91,20,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,82.9,0,4.25,50,10.07,40,14.09,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
46,78.1,0,2.68,30,12.08,30,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55.9,82.9,0,5.82,140,14.99,140,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37,61,0,4.47,50,16.11,40,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33.1,66.9,0,1.12,50,8.05,140,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46.9,73.9,0,4.03,230,12.97,230,14.99,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,51.1,0,6.49,20,14.99,350,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25,50,0,3.36,80,14.09,90,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27,57.9,0,4.7,90,14.09,100,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55.9,81,0,7.61,230,16.11,240,17.9,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
51.1,73.9,0,3.58,80,10.07,140,16.11,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
37.9,46.9,0.97,10.29,50,16.11,90,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
39.9,48,0.01,10.07,50,17,50,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
32,57.9,0,2.91,260,12.08,230,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,55,0,8.95,300,19.91,280,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
